name,price,Aturan Pakai,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian,uses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sildenafil Citrate 50 mg 4 Tablet,Rp96.500 - Rp168.500,Dikonsumsi satu jam sebelum melakukan aktivitas seksual,,,,,,,,,,,, aritmia yang mengancam nyawa dalam 6 bulan terakhir. Hipertensi (TD>170/110) atau hipotensi (TD<90/50) saat istirahat. Riwayat gangguan;SILDENAFIL CITRATE merupakan obat yang digunakan untuk mengobati gangguan fungsi seksual pada pria, yaitu disfungsi ereksi Obat ini bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viagra 50 mg 1 Tablet,Rp156.800 - Rp164.900,Dikonsumsi satu jam sebelum melakukan aktivitas seksual,,,,,,,,,,,, yaitu disfungsi ereksi Obat ini bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericfil Tablet 100 mg,Rp77.100 - Rp104.000,Dikonsumsi satu jam sebelum melakukan aktivitas seksual,,,,,,,,,,,, 1 Strip @ 4 Tablet salut selaput;Sildenafil citrate 100 mg;Pasien yang menggunakan nitrat organik, baik secara teratur dan atau kadang-kadang. Hipersensitifitas.;Novell Pharmaceutical Laboratories;BPOM: DKL1333528917A1;HARUS DENGAN RESEP DOKTER. Pria yang tidak dianjurkan melakukan hubungan kelamin dikarenakan keadaan jantung dan pembuluh darah mereka. Pasien yang menderita infarksi miokardial, stroke, aritmia yang mengancam kehidupan dalam waktu 6 bulan. Pasien dengan hipotensi pada saat beristirahat (tekanan darah kurang dari 90/50) atau hipertensi (tekanan darah lebih dari 170/110). Penyakit gagal jantung atau arteri koroner menyebabkan angina tidak stabil. Retinitis pigmentosa.;ERICFIL merupakan obat yang digunakan untuk mengobati disfungsi ereksi Ericfil mengandung Sildenafil citrate adalah inhibitor selektif dari siklik guanosin monofosfat (cGMP) -spesifik phosphodiesterase tipe 5 (PDE5) Obat ini menghambat fosfodiesterase tipe-5 (PDE-5) yang bertanggung jawab pada proses degradasi siklik guanosin monofosfat (cGMP) di corpus cavernosum Penghambatan PDE-5 meningkatkan cGMP yang menghasilkan relaksasi sel otot polos pembuluh darah paru Sildenafil citrate cepat diserap setelah pemberian oral, dengan bioavailabilitas absolut sekitar 41% Obat ini dimetabolisme di hati (terutama oleh enzim sitokrom P-450 3A4) dan diubah menjadi metabolit aktif dengan sifat yang mirip dengan Sildenafil citrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cialis Tablet 10 mg,Rp197.300 - Rp203.500,Diberikan sebelum atau setelah makan,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Disfungsi ereksi: 1 kali per hari,,,,,,,,,,, nitrat organik, atau nitrit organik dalam bentuk sediaan apapun: pria yang tidak dianjurkan untuk melakukan hubungan seks akibat penyakit KV tidak stabil yang dideritanya;;;;CIALIS 10 MG merupakan obat dengan kandungan Tadalafil Tadalafil digunakan untuk mengobati disfungsi ereksi dan dapat juga digunakan untuk mengobati penderita pembesaran prostat jinak (BPH), hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru Obat ini bekerja dengan cara melemaskan otot pembuluh darah dan meningkatkan aliran darah ke area tertentu dari tubuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericfil 50 mg Odf,Rp36.500 - Rp44.400,Cara penggunaan Ericfil ODF: 1. Buka kemasan dari bagian atas. 2. Tarik kemasan secara perlahan. 3. Letakan ODF di atas lidah dan biarkan larut,,,,,,,,,,,, hipotensi (tekanan darah <90/50 mmHg), riwayat stroke atau infark miokard, dan kelainan retina degeneratif herediter misalnya: retinitis pigmentosa.;Novell Pharmaceutical Laboratories;BPOM: DKL2233554519A1;Hati-hati penggunaan obat in pada pasien dengan riwayat gangguan kardiovaskular, pasien hipotensi akibat nitrate, pasien dengan riwayat stroke.;ERICFIL 50 MG ODF merupakan obat yang digunakan untuk mengobati gangguan fungsi seksual pada pria (disfungsi ereksi) Obat ini mengandung Sildenafil Citrate, yaitu suatu zat yang termasuk ke dalam golongan PDE-5 Inhibitor yang bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual Ericfil memiliki bentuk sediaan Oral Dissolving Film (ODF) Bentuk sediaan ODF ini, memiliki bentuk yang tipis dan fleksibel, sehingga memudahkan dalam penyimpanan dan nyaman digunakan oleh pasien yang mengalami kesulitan menelan tablet Selain itu, bentuk sediaan ODF mudah untuk menempel pada rongga mulut, cepat terdisolusi (larut) tanpa menggunakan air, dan rapid release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sildenafil Citrate 100 mg 4 Tablet,Rp124.400 - Rp248.700,Dikonsumsi satu jam sebelum melakukan aktivitas seksual,,,,,,,,,,,, aritmia yang mengancam nyawa dalam 6 bulan terakhir. Hipertensi (TD>170/110) atau hipotensi (TD<90/50) saat istirahat. Riwayat gangguan;SILDENAFIL CITRATE merupakan obat yang digunakan untuk mengobati gangguan fungsi seksual pada pria, yaitu disfungsi ereksi Obat ini bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cialis 5 mg 14 Tablet,Rp697.000 - Rp716.000,Diberikan sebelum atau setelah makan,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Disfungsi ereksi: 1 kali per hari,,,,,,,,,,, tekanan intraokular, reaksi hipersensitif. Reaksi hipersensitif (termasuk ruam), priapisme, mata merah nyeri.;Obat Keras (Merah);INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Pengobatan ketidakmampuan mencapai atau mempertahankan ereksi dengan baik untuk berhubungan seksual (disfungsi ereksi) pada pria dewasa, mengobati penderita pembesaran prostat jinak (BPH) dan hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru.;Dus, 2 Blister @ 14 Tablet Salut;Tadalafil 5 mg;Dikontraindikasikan pada terapi dengan nitrat;;;;CIALIS 5 MG merupakan obat dengan kandungan Tadalafil Tadalafil digunakan untuk mengobati disfungsi ereksi dan dapat juga digunakan untuk mengobati penderita pembesaran prostat jinak (BPH), hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru Obat ini bekerja dengan cara melemaskan otot pembuluh darah dan meningkatkan aliran darah ke area tertentu dari tubuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozgra 50 mg Tablet,Rp69.500,Dikonsumsi satu jam sebelum melakukan aktivitas seksual,,,,,,,,,,,, memiliki riwayat stroke atau sedang menderita infark miokard, pasien yang memiliki gangguan retina degenarif herediter, pasien dengan hipotensi, penderita kerusakan hati berat, hipertensi, pasien dengan gangguan paru-paru dan diabetes.;Pharos;BPOM: DKL1121635217A1;HARUS DENGAN RESEP DOKTER.;ROZGRA 50 MG TABLET mengandung Sildenafil citrate, golongan inhibitor selektif (cGMP) Obat ini digunakan untuk mengatasi masalah disfungsi ereksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viagra 100 mg 1 Tablet,Rp196.100 - Rp237.900,Dikonsumsi satu jam sebelum melakukan aktivitas seksual,,,,,,,,,,,, yaitu disfungsi ereksi Obat ini bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cialis Tablet 20 mg,Rp245.800 - Rp252.500,Diberikan sebelum atau setelah makan,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Disfungsi ereksi: 1 kali per hari,,,,,,,,,,, gangguan fungsi jantung, infark miokard akut, stroke, aritmia, angina tidak stabil, gangguan fungsi ginjal, penggunaan bersamaan dengan obat golongan nitrat, NOS, dan guanylate cyclase stimulator.;Pyridam Farma;BPOM: DKI1973401817D1;HARUS DENGAN RESEP DOKTER. Konsultasikan pada dokter anda apabila memiliki kondisi sebagai berikut: Retinitis pigmentosa, Aortic stenosis, Hyperthrophic obstructive cardiomyopathy, deformasi penis, anemia bulan sabit, Myeloma multiple, leukemia, gangguan perdarahan, tukak lambung, gangguan ginjal dan hati, kehamilan dan menyusui.;CIALIS 20 MG merupakan obat dengan kandungan Tadalafil Tadalafil digunakan untuk mengobati disfungsi ereksi dan dapat juga digunakan untuk mengobati penderita pembesaran prostat jinak (BPH), hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru Obat ini bekerja dengan cara melemaskan otot pembuluh darah dan meningkatkan aliran darah ke area tertentu dari tubuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolak Angin Flu 5 Sachet,Rp19.200 - Rp24.800,Kocok dahulu sebelum diminum. Sesudah makan. Anjuran,,,,,,,,,,,, Burmanni Cortex, Centella Herba, Parkiae Semen, Usneae Thallus. Ekstrak Vallerinae Radix 0.1 g, Ekstrak Echinaceae 0.1 g, Ekstrak Panax Radix, Ekstrak Phillantus Niruri.;Tidak boleh digunakan pada penderit multiple sklerosis, penyakit kolagen, tuberkulosis, AIDS, dan penyakit autoimun, serta penderita gangguan hati.;Sido Muncul;BPOM: TR032622221;Produk ini mengandung antidepresan (dari ekstrak tanaman Valerian) yang dapat menyebabkan kantuk, hanya diminum saat sakit. Minum sesuai aturan, jika dalam 3 hari tidak sembuh hubungin dokter. Hindari penggunaan obat herbal ini jika terjadi reaksi alergi. Tidak dianjurkan untuk digunakan lebih dari 8 minggu. Hindari penggunaan pada anak di bawah usia 12 tahun, wanita hamil dan menyusui. Tidak boleh mengemudi atau mengoperasikan mesin yang membutuhkan konsentrasi tinggi selama mengkonsumsi obat herbal ini. Hindari penggunaan bersama dengan alkohol atau obat yang memiliki efek sedatif lainnya,;TOLAK ANGIN FLU merupakan herbal terstandar yang digunakan untuk meringankan gejala flu, membantu meredakan masuk angin, serta membantu memelihara daya tahan tubuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imboost Force Cough Kids Syrup 60 ml,Rp39.600 - Rp53.800,Sesudah makan,Anak (2-5 tahun): 3 x sehari 1/2 sendok teh (2.5ml) Anak & remaja (6-17 tahun): 3 x sehari 1 sendok teh (5 ml),,Herbal,Untuk membantu meredakan batuk berdahak.,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komix Herbal 15 ml 4 Botol,Rp12.700 - Rp14.900,Sesudah makan. Kocok dahulu sebelum diminum.,Dewasa : 3 x sehari 1 tube botol Anak-anak : 1/2 dosis dewasa,,Herbal,Membantu meredakan batuk berdahak,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolak Angin Flu 12 Sachet,Rp51.000 - Rp56.100,Setelah makan. Obat dapat langsung diminum atau dapat dicampur dengan setengan air hangat.,Dewasa dan Anak diatas 12 tahun: 1 sachet,,,,,,,,,,, Amomi Fructus, Myristicae Semen, Burmanni Cortex, Centella Herba, Parkiae Semen, Usneae Thallus. Ekstrak Vallerinae Radix 0.1 g, Ekstrak Echinaceae 0.1 g, Ekstrak Panax Radix, Ekstrak Phillantus Herba;Tidak boleh digunakan pada penderit multiple sklerosis, penyakit kolagen, tuberkulosis, AIDS, dan penyakit autoimun, serta penderita gangguan hati.;Sido Muncul;BPOM: TR032522231;Produk ini mengandung ekstrak tanaman Valerian yang dapat menyebabkan kantuk, hanya diminum saat sakit. Minum sesuai aturan, jika dalam 3 hari tidak sembuh hubungin dokter. Hindari penggunaan obat herbal ini jika terjadi reaksi alergi. Tidak dianjurkan untuk digunakan lebih dari 8 minggu. Hindari penggunaan pada anak di bawah usia 12 tahun, wanita hamil dan menyusui. Tidak boleh mengemudi atau mengoperasikan mesin yang membutuhkan konsentrasi tinggi selama mengkonsumsi obat herbal ini.;TOLAK ANGIN FLU merupakan herbal terstandar yang diformulasikan khusus untuk mengatasi gejala-gejala flu serta diproses di pabrik berstandar GMP (Good Manufacturing Practice) sehingga tetap terjaga kualitasnya Produk ini digunakan untuk membantu meringankan gejala flu, membantu meringankan masuk angin, serta membantu memelihara daya tahan tubuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laserin Sirup 110 ml,Rp24.500 - Rp30.500,Berikan sesudah makan,Dewasa: 3 x sehari 1-2 sendok makan. Anak: 3 x sehari 1-2 sendok teh. Bayi: 2 x sehari 1/2 sendok teh. Atau menurut petunjuk dokter,Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya,,,,,,,,,, buah kardamon 0,15 g, mentha arvensis 0,15 g, daun hibiscus 0,15 g, minyak permen 0,015 ml, sari akar manis 0,015 g;Hipersensitif;Mecosin Indonesia;BPOM: TR192636251;Simpan ditempat yang kering dan terhindar dari sinar matahari langsung. Simpan dibawah suhu 30 C.;LASERIN SIRUP merupakan obat herbal yang membantu meredakan batuk, masuk angin, muntah, sakit perut, dan membantu melegakan tenggorokan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Cough Obat Batuk Herbal 120 ml,Rp137.500,Sesudah makan. Kocok dahulu sebelum diminum,Dewasa : 3 x 1 sendok takar (15 ml),,Herbal,Membantu meredakan batuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB Herbal 100 ml,Rp24.000 - Rp29.700,Sesudah makan. Kocok dahulu sebelum diminum.,Dewasa: 1 sendok makan (15 ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB Herbal 60 ml,Rp16.700 - Rp21.400,Berikan setelah makan,Dewasa : 3 x sehari 1 sendok makan (15ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB Herbal Junior 30 ml,Rp12.000,Sesudah makan,Anak usia 6-12 tahun : 3 kali sehari 2 sendok takar (10 ml),,Herbal,Menghangatkan dan melegakan tenggorokan. Membantu meredakan batuk yang disebabkan karena masuk angin.,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB Herbal Junior Sirup 60 ml,Rp16.500 - Rp20.900,Diberikan sesudah makan. Kocok dahulu sebelum diminum.,Anak usia 6-12 tahun : 3 kali sehari 2 sendok takar (10 ml),,Herbal,Membantu meredakan batuk dan melegakan tenggorokan,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbakof Sirup 100 ml,Rp20.800 - Rp27.100,setelah makan,Dewasa: 3 x sehari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbakof Sirup 60 ml,Rp15.400 - Rp18.600,sebelum atau setelah makan,Dewasa: 3 sendok takar (15 ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komix Herbal Kids Rasa Strawberry 10 ml 4 Botol,Rp13.500,Sesudah makan. Kocok dahulu sebelum diminum.,Anak umur 2-6 tahun : 3 x sehari 1/2 tube Anak umur 6-12 tahun : 3 x sehari 1 tube,,Vitamin & Suplemen,Membantu meredakan batuk berdahak,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komix Herbal Lemon Sirup 15 ml 4 Botol,Rp12.000 - Rp14.900,Sesudah makan. Kocok dahulu sebelum diminum.,Dewasa : 3 x sehari 1 tube botol Anak-anak : 1/2 dosis dewasa,,Herbal,Membantu meredakan batuk berdahak,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komix Herbal Original 15 ml 6 Sachet,Rp13.900 - Rp16.800,Sesudah makan. Kocok dahulu sebelum diminum.,Dewasa : 3 x sehari 1 Sachet Anak-anak : 1/2 dosis dewasa,,Herbal,Membantu meredakan batuk berdahak,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB Herbal 30 ml,Rp10.800 - Rp11.800,Sesudah makan,Dewasa : 3 x sehari 1 sendok makan (15ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obat Batuk Pei Pa Mat 150 ml,Rp28.200,Sesudah makan,Dewasa: 3 kali sehari 1 sendok makan. Anak: 3 kali sehari 1 sendok teh.,,Herbal,Membantu mengurangi batuk,,,,,,,, madu 10 gram, dan sirup.;;;BPOM: TL092601621;;Yang Seng Pei Pa Mat mengandung ekstrak tanaman, sari buah, dan madu yang digunakan untuk membantu mengurangi batuk, rasa sakit di tenggorokan, dan membantu melegakan pernafasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolak Angin Ekstra Hangat 4 Tablet,Rp3.900 - Rp4.300,Dikonsumsi setelah makan,3-4 x sehari 1 tablet,,Herbal,Membantu meredakan masuk angin dan gejala-gejalanya,,,,,,,, Poko, Kayu Angin, Jahe, Jahe Merah, Ginseng, Royal Jelly.;;Industri Jamu dan Farmasi Sido Muncul;BPOM: TR032519911;Tidak direkomendasikan bagi ibu hamil dan menyusui, serta anak-anak dibawah usia 12 tahun.;TOLAK ANGIN EKSTRA HANGAT merupakan Herbal yang dikemas dalam bentuk tablet untuk membantu meredakan masuk angin dan gejala-gejalanya, seperti pusing, perut mual, kembung dan meriang serta membantu menghangatkan badan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicks Formula Jahe Madu 105 ml,Rp39.800,Sesydah makan,Dewasa dan anak diatas 12 tahun : 3 x sehari 7 ml. Anak 6-12 tahun : 3 x sehari 7 ml.,,Herbal,Membantu meredakan batuk dan melegakan tenggorokan,Botol @ 105 ml,Per 7 ml : Ekstrak Jahe (Ext.Zingiber officinale Rhizome) 47 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicks Formula Jahe Madu 56 ml,Rp24.600,Sesudah makan,Dewasa dan anak diatas 12 tahun : 3 x sehari 7 ml. Anak 6-12 tahun : 3 x sehari 7 ml.,,Herbal,INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Terapi penyakit kulit akibat alergi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woods Naturals Sirup 60 ml,Rp27.500,Berikan setelah makan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Vogel Bronchosan Pine Cough Sirup 100 ml,Rp434.200 - Rp474.700,sesudah makan,Gunakan gelas ukur yang tersedia. Dewasa dan anak-anak di atas 12 tahun: 5 ? 10 ml (1 ? 2 sendok teh),,,,,,,,,,, dan menyusui, kecuali dengan saran dokter.;A VOGEL BRONCHOSAN PINE COUGH merupakan herbal yang digunakan untuk membantu mengatasi batuk kering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Afiat Gurah Mint 125 ml,Rp55.400 - Rp60.700,Sesudah makan,3 x sehari 2-3 sendok makan,,Herbal,Membantu meredakan batuk dan membantu melegakan tenggorokan.,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Afiat Gurah Mint 60 ml,Rp32.900 - Rp36.600,Sesudah makan,3 x sehari 2-3 sendok makan,,Herbal,Membantu meredakan batuk dan membantu melegakan tenggorokan.,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albiruni Albiguraa 25 Kapsul,Rp25.300 - Rp42.700,1 jam sebelum makan,3 x sehari 2 kapsul,,Herbal,Membantu meredakan batuk.,Kapsul 25 x 1,Tiap kapsul mengandung ekstrak: - Nigella sativa Semen 200 mg - Clerodendron serratum Folium 100 mg - Zingiberis officinale Rhizoma 20 mg.,Wanita hamil dan anak < 1 tahun,ALBIRUNI SUKSES BERSINAR,BPOM: TR103309941,Tidak untuk wanita hamil dan anak-anak dibawah 1 tahun,ALBIRUNI ALBIGURAA merupakan suplemen herbal yang diolah dari Nigella sativa Semen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albiruni Albiguraa 50 Kapsul,Rp52.000 - Rp78.800,1 jam sebelum makan,3 x sehari 2 kapsul,,Herbal,Membantu meredakan batuk.,Botol @ 50 Kapsul,Tiap kapsul mengandung ekstrak: - Nigella sativa Semen 200 mg - Clerodendron serratum Folium 100 mg - Zingiberis officinale Rhizoma 20 mg.,Wanita hamil dan anak < 1 tahun,ALBIRUNI SUKSES BERSINAR,BPOM: TR103309941,Tidak untuk wanita hamil dan anak-anak dibawah 1 tahun,ALBIRUNI ALBIGURAA merupakan suplemen herbal yang diolah dari Nigella sativa Semen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antangin OB Herbal Sachet,Rp1.800 - Rp3.400,Sesudah makan,Dewasa : 3 x sehari 1 sachet,-,Herbal,Membantu meredakan batuk dan membantu melegakan tenggotokan,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basmingin Flu 15 ml 10 Sachet,Rp22.000,Bisa langsung diminum atau diseduh dengan air hangat/teh hangat � 1/2 gelas.,Minum sesudah makan 3-5 bungkus sehari sampai kondisi membaik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodrex Herbal Batuk 15 ml 5 Sachet,Rp10.500 - Rp16.700,,3 x sehari 1 sachet,,Herbal,Membantu meredakan batuk dan melegakan tenggorokan,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodrexin Herbal Batuk Sachet 7.5 ml,Rp1.500 - Rp2.500,,Anak usia 3 - <5 Tahun : 3 x sehari 1/2 sachet Anak usia 5-12 Tahun : 3 x sehari 1 sachet,,Herbal,Membantu meredakan batuk dan melegakan tenggorokan,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Cough Menthol For Adult 60 ml,Rp32.000 - Rp36.800,Sesudah makan,3 x sehari 1-2 sendok takar,,Herbal,Membantu meredakan batuk,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De-Cough Jeruk Sirup 60 ml,Rp24.100 - Rp31.900,Sesudah makan,Anak usia 1-3 tahun : 3 x sehari 1/2 sendok takar Anak usia 3-6 tahun : 3 x sehari 1 sendok takar Anak usia > 6 tahun : 3 x sehari 2 sendok takar,,Herbal,Membantu meredakan batuk,Dus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbacold 6 Tablet,Rp24.800,Sesudah makan,4 x sehari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbakof 4 Tablet,Rp5.600 - Rp11.700,Sesudah makan,3 x sehari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbakof 6 Tablet,Rp23.100 - Rp28.100,Sesudah makan,3 x sehari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbakof Kids Sirup Rasa Jeruk 60 ml,Rp11.800 - Rp20.400,Sesudah makan,Anak anak 2-12 tahun: 5 ml ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbakof Stick Pack 15 ml,Rp3.000 - Rp3.600,sebelum atau setelah makan,3 x sehari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbivi Sirup 100 ml,Rp84.500 - Rp95.100,Dapat diberikan sebelum atau setalah makan.,Anak (2 - 5 tahun) : sehari 1 - 2 kali 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamu Ban Leng 100 ml,Rp41.800 - Rp47.400,,Diminum 3-4 kali sehari (sakit keras : 6-7 kali sehari) - Dewasa : 1 sendok teh - Anak : 1/2 sendok teh - Bayi : 3 sampai 5 tetes Minum dengan air atau teh hangat,,Herbal,Membantu meredakan gejala masuk angin seperti batuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamu Ban Leng 15 ml,Rp16.500 - Rp22.800,,Diminum 3-4 kali sehari (sakit keras : 6-7 kali sehari) - Dewasa : 1 sendok teh - Anak : 1/2 sendok teh - Bayi : 3 sampai 5 tetes Minum dengan air atau teh hangat,,Herbal,Membantu meredakan gejala masuk angin seperti batuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
