name,price,Aturan Pakai,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian,uses,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
Diabetasol Vita Digest Pro Susu Rasa Vanilla 600 g,Rp128.000 - Rp215.600,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensure Vanilla 400 gr,Rp125.200 - Rp184.900,Untuk orang dewasa,1-3 gelas sehari,-,Produk Konsumen,Ensure digunakan sebagai nutrisi tambahan atau selingan yang diberikan yang diberikan 1-3 gelas sehari. Membantu memenuhi kebutuhan nutrisi harian. Ensure diformulasikan untuk orang dewasa.,Kaleng 400 G,Pati jagung terhidrolisa,,,,,, natrium molibdat, kalium iodida, kromium klorida, natrium selenat), minyak kedelai, isolat protein kedelai, fruktosa oligosakarida, inulin, isolat protein susu, minyak kanola, perisa artifisial vanila, vitamin (kolin klorida, asam askorbat, askorbil palmitat, niasinamida, campuran tokoferol, kalsium pantotenat, dl-Alfa tokoferil asetat, pirodiksin hidroklorida, thiamin hidroklorida, ribloflavin, vitamin A palmitat, asam folat, beta karoten, biotin, filokuinon, vitamin D3, sianokobalamin);-;Abbott;BPOM: ML567009025512;Tidak digunakan untuk galaktosemia;ENSURE VANILLA merupakan minuman nutrisi tambahan yang diformulasi khusus bagi orang dewasa untuk memenuhi kebutuhan nutrisi harian,,,,,,,,,,,,,,,,,,,
Milo Active-Go UHT 180 ml,Rp5.300 - Rp6.600,,,,Produk Konsumen,Susu dalam kemasan siap minum dengan rasa cokelat,Karton laminat @ 180 ml,,,Nestle,BPOM: MD400913025007,,Milo Active-Go merupakan minuman kemasan siap minum yang mengandung susu dan coklat untuk mendukung aktivitas sepanjang hari Minuman mengandung Protomalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susu Steril Tujuh Kurma 200 ml,Rp11.200 - Rp11.900,,,,Produk Konsumen,,Botol @ 200 ml,,,Mayora Indah Tbk,BPOM: MD500310023036,,Susu Steril Tujuh Kurma Susu dibuat dari susu sapi berkualitas dengan rasa buah kurma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldsure By Ensure 400 g,Rp176.000 - Rp209.200,Tuangkan 6 sendok takar susu ke dalam 185 ml air hangat atau dingin lalu aduk hingga tercampur rata,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, Kalium klorida, Natrium sitrat, Kaliumm fosfat, Natrium klorida, Kalsium karbonat, Kalium hidroksida, Besi sulfat, Zink sulfat, Mangan sulfat, Tembaga sulfat, Kromium klorida, Kalium iodida, Natrium molibdat, Natrium selenat), Kalsium �-hidroksi-�-metilbutirat (CaHMB), Perisa sintetik vanila, Kolin klorida, Vitamin (Asam askorbat, Vitamin E (dl-Alfa tokoferil asetat), Kalsium pantotenat, Niasinamida, Piridoksin hidroklorida, Riboflavin, Tiamin hidroklorida, Vitamin A, Palmitat, Asam folat, Beta karoten, Filokuinon, Biotin, Vitamin D3, Sianokobalamin, Taurin, L-karnitin, Antioksidan (Askorbil palmitat dan Campuran tokoferol).;;Abbott;BPOM: ML562509039512;Produk ini merupakan pangan olahan untuk keperluan medis khusus untuk dukungan nutrisi bagi orang dewasa yang kurang gizi atau gizi buruk. PENYIMPANAN : Jangan memanaskan formula dalam microwave dapat menyebabkan luka bakar serius. Penyimpanan: simpan kaleng yang belum dibuka dalam suhu ruangan. Kaleng yang telah dibuka harus ditutup dengan rapat dan disimpan di tempat yang sejuk dan kering.;Goldsure merupakan pangan olahan untuk keperluan medis khusus untuk dukungan nutrisi bagi orang dewasa gizi kurang atau gizi buruk Penggunaan produk ini harus atas rekomendasi dokter,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cappuccino 180 g,Rp27.200 - Rp63.600,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diminum setiap hari,-,Pangan Olahan Keperluan Medis Khusus,Membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang.,Dus,,,,,,, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cappuccino 600 g,Rp122.700 - Rp203.700,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cokelat 1 Kg,Rp196.500 - Rp313.500,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cokelat 180 g,Rp40.500 - Rp66.000,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, kering dan terlindung dari kelembaban.;Diabetasol Vita Digest Pro Susu Rasa Cokelat 180 g merupakan susu medis khusus untuk penderita diabetes, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cokelat 600 g,Rp123.200 - Rp212.900,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Vanila 1 Kg,Rp195.300 - Rp336.300,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Vanilla 180 g,Rp28.800 - Rp65.100,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diminum setiap hari,-,Pangan Olahan Keperluan Medis Khusus,Membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang.,Box (Rasa Vanila) 180 G X 1,Maltodextrin,,,,,, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Vanilla 600 g,Rp128.000 - Rp215.600,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldsure By Ensure 900 g,Rp319.000 - Rp374.400,Tuangkan 6 sendok takar susu ke dalam 185 ml air hangat atau dingin lalu aduk hingga tercampur rata,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, Kalium klorida, Natrium sitrat, Kaliumm fosfat, Natrium klorida, Kalsium karbonat, Kalium hidroksida, Besi sulfat, Zink sulfat, Mangan sulfat, Tembaga sulfat, Kromium klorida, Kalium iodida, Natrium molibdat, Natrium selenat), Kalsium �-hidroksi-�-metilbutirat (CaHMB), Perisa sintetik vanila, Kolin klorida, Vitamin (Asam askorbat, Vitamin E (dl-Alfa tokoferil asetat), Kalsium pantotenat, Niasinamida, Piridoksin hidroklorida, Riboflavin, Tiamin hidroklorida, Vitamin A, Palmitat, Asam folat, Beta karoten, Filokuinon, Biotin, Vitamin D3, Sianokobalamin, Taurin, L-karnitin, Antioksidan (Askorbil palmitat dan Campuran tokoferol).;;Abbott;BPOM: ML562509039512;Produk ini merupakan pangan olahan keperluan medis khusus bagi orang dewa yang mengalami gizi buruk atau kurang gizi untuk membantu pemulihan terhadap penyakit Penggunaan produk ini harus dengan rekomendasi dokter.;GOLDSURE merupakan susu nutrisi dewasa yang digunakan untuk membantu pada masa pemulihan karena mengandung HMB, Triple protein Penggunaa produk ini harus atas rekomendasi dokter,,,,,,,,,,,
SGM Eksplor Gain Optigrow 1 Vanilla Susu Bubuk 400 g,Rp68.700 - Rp110.400,,Hanya digunakan sesuai petunjuk dokter atau ahli gizi dan bervariasi sesuai dengan kebutuhan masing-masing individu. Dosis Takaran susu formula bayi dapat dilihat pada Tabel Pemberian Formula.,,Pangan Olahan Keperluan Medis Khusus,SGM EKSPLOR GAIN OPTIGROW merupakan formula bayi bubuk yang digunakan untuk anak usia di atas 1 tahun dengan indikasi:- Anak berisiko gagal tumbuh- Gizi kurang- Gizi buruk HARUS DENGAN RESEP DOKTER Produk bukan untuk pemberian secara parental.,Dus @ 400 g,Susu bubuk,,,,,, dan askrobil palmitat), L-Karnitin.;;Sari Husada Generasi Mahardika;BPOM: MD862411027116;Produk ini merupakan pangan olahan keperluan medis khusus untuk dukungan nutrisi anak beresiko gagal tumbuh, gizi kurang dan/ atau gizi buruk untuk Anak Usia di Atas 1 Tahun. Pemakaian produk ini harus di bawah pengawasan Dokter ahli gizi atau praktisi medis. Tidak cocok untuk bayi dan pasien galaktosemia. Tidak disarankan untuk mengkonsumsi produk ini jika asupan energi sudah cukup. Untuk penggunaan lebih lanjut dengan dokter atau ahli gizi. PETUNJUK PENYIMPANAN:Simpan SGM Eksplor Gain Optigrow 1 Vanilla Susu Bubuk di tempat dingin dan kering (kurang dari 25 C). Jangan disimpan di lemari es. SGM Eksplor Gain Optigrow 1 yang sudah dibuka harus disimpan dalam kemasan tertutup dan habiskan dalam waktu 1 (satu) bulan.;SGM Eksplor Gain Optigrow mengandung IronC dan Formula tinggi Kalori 100 kcal/ 100 ml bantu dukung kejar tumbuh anak, Minyak Ikan dan Omega 3&6 bantu penyerapan nutrisi penting secara maksimal, serta Vit C dan Zinc untuk membantu daya tahan tubuh anak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGM Ananda Gain 100 0-12 Bulan Susu Bubuk 400 g,Rp89.600 - Rp130.400,1. Bersihkan dan sterilisasi tempat penyiapan formula. 2. Cuci tangan dengan sabun,,,,,,,,,,,, dan askorbil palmitat), Minyak ikan (sumber DHA) )(mengandung antioksidan natrium askorbat, tokoferol campuran pekat, dan askrobil palmitat), L-Karnitin;;Sari Husada Generasi Mahardika;BPOM: MD862412052019;Produk ini merupakan Pangan Olahan Keperluan Medis Khusus untuk Dukungan Nutrisi bagi Anak Berisiko Gagal Tumbuh, Gizi Kurang, dan/atau Gizi Buruk Untuk Bayi Usia 0-12 Bulan. Penggunaan Produk Harus dengan Rekomendasi Dokter.;SGM Ananda Gain 100 0-12 Bulan Susu Bubuk merupakan susu formula bayi bubuk formula untuk usia 0-12 bulan Air Susu Ibu (ASI) adalah nutrisi yang terbaik dan penggunaan formula untuk bayi hanya atas rekomendasi Dokter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infatrini Powder 400 g,Rp298.400 - Rp322.700,Standar Pengenceran : Untuk Menyiapkan 100 ml formula,,,,,,,,,,,, galakto-oligosakarida (GOS), konsentrat protein whey, frukto-oligosakarida (FOS), trinatrium sitrat, kalsium karbonat, kalsium karbonat, trikalsium fosfat, campiran minyak ikan dan minyak sel tunggal (DHA/AA ( mengandung antioksidan DL-alpha-tokoferol dan askorbit palmitat)) , kalium klorida , inositol , trimagnesium disitrat, pengemulsi nabati ( lesitin kedelai), asam askorbat , besi sulfat , seng sulfat, sitidin-5 -monofosfat, adenosin 5-monofosfar, garam natrium inosin 5- monofosfar , garam natrium guanosin 5 monophosphat, kalsium D-pantotenat, tembaga sulfat , tiamin hidroklorida, retinol palmitat , D-Biotin , sianokobalamin, kolekalsiferol, riboflavin , piridoksin hidroklorida, kalium iodida, fitomenadion , natrium selenit. Mengandung alergen, lihat daftar bahan yang dicetak tebal.;Tidak cocok digunakan pada bayi yang tidak memiliki indikasi gangguan medis khusus yang menyebabkan naiknya kebutuhan kalori dan pada bayi yang tidak berisiko gagal tumbuh, gizi kurang atau gizi buruk.;Nutricia;BPOM: ML562409007738;Produk ini merupakan pangan olahan keperluan medis khusus untuk dukungan nutrisi anak beresiko gagal tumbuh, gizi kurang dan/ atau gizi buruk. Penggunaan produk harus dengan rekomendasi Dokter atau ahli gizi. Tidak disarankan untuk mengkonsumsi produk ini jika asupan energi sudah cukup. Untuk penggunaan lebih lanjut dengan dokter atau ahli gizi. PERINGATAN: Formula hendaknya tidak dihangatkan lebih dari 15 menit sebelum digunakan. Jangan mendidihkan forula dan jangan menggunakan microwave untuk menyiapkan atau menghangatkan formula. PETUNJUK PENYIMPANAN: Simpan Nutricia Infatrini sediaan bubuk di tempat dingin dan kering (kurang dari 25 C). Jangan disimpan di lemari es. Nutricia Infatrini yang sudah dibuka harus disimpan dalam kemasan tertutup dan habiskan dalam waktu 1 (satu) bulan. Nutricia Infatrini hendaknya tidak dihangatkan lebih dari 15 menit sebelum digunakan. Jangan mendidihkan formula dan jangan menggunakan microwave untuk menyiapkan atau menghangatkan formula.;INFATRINI POWDER merupakan susu formula yang mengandung kalori lebih tinggi dari standar formula bayi, yaitu 100 kkal/100mL Infatrini diindikasikan pada bayi usia 0-12 bulan atau sampai berat badan 5 kg yang memiliki gangguan medis yang menyebabkan naiknya kebutuhan kalori dan pada bayi dengan risiko gagal tumbuh, gizi kurang, atau gizi buruk Akan terjadi kemungkinan yang tidak diinginkan jika diberikan pada bayi yang tidak memiliki indikasi seperti diatas,,,,,,,,,,
Milo Active-Go UHT 180 ml,Rp5.300 - Rp6.600,,,,Produk Konsumen,Susu dalam kemasan siap minum dengan rasa cokelat,Karton laminat @ 180 ml,,,Nestle,BPOM: MD400913025007,,Milo Active-Go merupakan minuman kemasan siap minum yang mengandung susu dan coklat untuk mendukung aktivitas sepanjang hari Minuman mengandung Protomalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susu Steril Tujuh Kurma 200 ml,Rp11.200 - Rp11.900,,,,Produk Konsumen,,Botol @ 200 ml,,,Mayora Indah Tbk,BPOM: MD500310023036,,Susu Steril Tujuh Kurma Susu dibuat dari susu sapi berkualitas dengan rasa buah kurma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldsure By Ensure 400 g,Rp176.000 - Rp209.200,Tuangkan 6 sendok takar susu ke dalam 185 ml air hangat atau dingin lalu aduk hingga tercampur rata,Diberikan sesuai dengan petunjuk dosis penggunaan,,,,,,,,,,, Kalium klorida, Natrium sitrat, Kaliumm fosfat, Natrium klorida, Kalsium karbonat, Kalium hidroksida, Besi sulfat, Zink sulfat, Mangan sulfat, Tembaga sulfat, Kromium klorida, Kalium iodida, Natrium molibdat, Natrium selenat), Kalsium �-hidroksi-�-metilbutirat (CaHMB), Perisa sintetik vanila, Kolin klorida, Vitamin (Asam askorbat, Vitamin E (dl-Alfa tokoferil asetat), Kalsium pantotenat, Niasinamida, Piridoksin hidroklorida, Riboflavin, Tiamin hidroklorida, Vitamin A, Palmitat, Asam folat, Beta karoten, Filokuinon, Biotin, Vitamin D3, Sianokobalamin, Taurin, L-karnitin, Antioksidan (Askorbil palmitat dan Campuran tokoferol).;;Abbott;BPOM: ML562509039512;Produk ini merupakan pangan olahan untuk keperluan medis khusus untuk dukungan nutrisi bagi orang dewasa yang kurang gizi atau gizi buruk. PENYIMPANAN : Jangan memanaskan formula dalam microwave dapat menyebabkan luka bakar serius. Penyimpanan: simpan kaleng yang belum dibuka dalam suhu ruangan. Kaleng yang telah dibuka harus ditutup dengan rapat dan disimpan di tempat yang sejuk dan kering.;Goldsure merupakan pangan olahan untuk keperluan medis khusus untuk dukungan nutrisi bagi orang dewasa gizi kurang atau gizi buruk Penggunaan produk ini harus atas rekomendasi dokter,,,,,,,,,,,,
Diabetasol Vita Digest Pro Susu Rasa Cappuccino 180 g,Rp27.200 - Rp63.600,Campurkan 4 sendok takar dilarutkan dalam 200 ml air matang,Diminum setiap hari,-,Pangan Olahan Keperluan Medis Khusus,Membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang.,Dus,,,,,,, dengan membantu mengatur kadar glukosa darah pada penderita diabetes bila disertai dengan konsumsi makanan dan minuman rendah gula dan gizi seimbang Diabetasol vita digest in tidak mengandung gila, rendah lemak, mengandung kalsium yang berfungsi untuk memadatkan tulang dan gigi, serta tidak mengandung kolesterol sehingga cocok digunakan untuk penderita diabetes dan mampu mengurangi resiko penyakit jantung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
