name,price,Aturan Pakai,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian,uses
Paramex 4 Tablet,Rp2.500 - Rp3.100,Sesudah makan,Dewasa dan anak-anak diatas 12 tahun : 2-3 kali sehari 1 tablet.,Mengantuk. Dosis besar atau terapi jangka panjang dapat menyebabkan kerusakan hati,Obat Bebas Terbatas (Biru),Meringankan sakit kepala dan sakit gigi,"Dus, 50 Catch Cover @ 1 Strip @ 4 tablet","Paracetamol 250 mg, Propyphenazone 150 mg, Caffeine 50 mg, Dexchlorpheniramine maleate 1 mg",Hipersensitif terhadap parasetamol. Pasien dengan disfungsi hati dan ginjal,Konimex,BPOM: DTL7813003810A1,"Hati-hati penggunaan pada penderita porphyria akut karena dapat menimbulkan porphyrinogenic Bila setelah 5 hari nyeri tidak hilang, segera hubungi dokter Obat ini dapat menyebabkan kantuk Penggunaan pada penderita yang mengkonsumsi alkohol dapat meningkatkan resiko kerusakan hati","PARAMEX merupakan obat dengan kandungan Paracetamol, Propyphenazone, Caffeine, Dexchlorpheniramine maleate Obat ini dapat digunakan untuk meringankan sakit kepala dan sakit gigi"
Biogesic 500 mg 4 Tablet,Rp2.200 - Rp2.400,Obat dapat diminum sebelum atau sesudah makan,"Dewasa: 1 - 3 kaplet, 3 sampai 4 kali per hari. Anak (6 - 12 tahun): 0.5 - 1 kaplet, 3 sampai 4 kali per hari. Atau sesuai petunjuk dokter","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: penggunaan jangka panjang dan dosis besar dapat menyebabkan kerusakan hati dan rekasi hipersensitifitas",Obat Bebas (Hijau),"Meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam.","Dus, 25 Blister @ 4 Tablet",Paracetamol 500 mg,Jangan diberikan kepada penderita hipersensitif/alergi terhadap Paracetamol. Penderita gangguan fungsi hati berat.,Medifarma,BPOM: DBL8814702510A3,Hati-hati penggunaan pada pasien dengan penyakit ginjal. Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang segerea hubungi unit pelayanan kesehatan.,"BIOGESIC merupakan obat dengan kandungan Paracetamol 500 mg Obat ini dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam Obat ini bekerja sebagai analgesik dengan meningkatkan ambang rangsangan sakit serta sebagai antipiretik yang diduga bekerja langsung pada pusat pengatur panas di hipotalamus"
Flamar 50 mg 10 Tablet,Rp23.200 - Rp28.100,"Sesudah makan. Telan utuh, jangan dikunyah/dihancurkan.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dan Anak diatas 14 tahun: 25 mg atau 50 mg, 2 sampai 3 kali per hari.","Gangguan gastrointestinal, pusing, sakit kepala.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Meredakan nyeri dan mengurangi inflamasi pada pasien Rematoid Atritis akut dan kronis, nyeri pada tulang, spondilitis ankilosa","Dus, 10 Strip @ 10 Tablet Salut Enterik",Natrium Diklofenak 50 mg,"Hipersensitifitas terhadap komponen dalam obat. Pasien yg mengalami asma, tukak peptik, urtikaria, rinitis akut yg diinduksi oleh asam asetil salisilat (aspirin) atau AINS lain.",Sanbe Farma,BPOM: DKL8922209615B1,"HARUS DENGAN RESEP DOKTER. Memiliki riwayat penyakit atau faktor resiko gangguan kardiovaskular, hipertensi, retensi cairan, gagal jantung. Memiliki riwayat penyakit tukak lambung/usus, penyakit Crohn, gangguan fungsi hati, gangguan fungsi ginjal, asma, lansia, anak-anak, ibu hamil dan menyusui. Hipersensitif terhadap diklofenak.","FLAMAR 50 MG 10 TABLET mengandung zat aktif Natrium Diclofenac yang merupakan obat golongan NSAID Obat ini digunakan untuk mengurangi nyeri, gangguan inflamasi (radang), dismenore (nyeri haid), nyeri ringan sampai sedang pasca operasi khususnya ketika pasien juga mengalami peradangan Dapat pula digunakan untuk mengurangi rasa sakit pada penderita arthritis, rheumatoid arthritis, osteoarthritis, sakit gigi, migrain akut, asam urat dan nyeri karena batu ginjal dan batu empedu"
Ketesse 25 mg 10 Tablet,Rp116.300 - Rp133.300,"Dikonsumsi saat perut kosong, berikan 30 menit sebelum makan, terutama untuk meredakan nyeri akut dengan segera.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 0.5 tablet tiap 4-6 jam atau 1 tablet tiap 8 jam. Nyeri paska operasi : 1 tablet tiap 8 jam, maximum 3 tablet.","Mual, muntah, nyeri perut, diare, dispepsia, sakit kepala, pusing, dan penglihatan kabur.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Pengobatan gejala nyeri dengan intensitas ringan hingga sedang seperti pada nyeri muskuloskeletal akut, dismenorea, sakit gigi, nyeri paska operasi.","Dus, 5 Strip @ 10 Tablet salut selaput",Dexketoprofen Trometamol 25 mg,"Hipersensitivitas, riwayat serangan asma, bronkospasme, rinitis akut atau polip nasal, urtikaria atau edema angioneurotik, tukak lambung atau dispepsia kronik, perdarahan lambung, penyakit Crohn atau kolitis ulseratif, gagal jantung berat, disfungsi ginjal, gangguan hati berat, hamil (trimester 3) dan laktasi.",Dexa Medica,BPOM: DKL0405036517A2,"HARUS DENGAN RESEP DOKTER. Riwayat esofagitis, gastritis dan ulkus peptik","KETESSE 25 MG TABLET adalah obat dengan kandungan Dexketoprofen trometamol 36 9 mg setara dengan Dexketoprofen 25 mg Dexketoprofen trometamol merupakan garam trometamol dari S(+)-2-[3-benzoylphenyl] propionic acid, adalah obat analgesik, antiinflamasi, antipiretik yang termasuk OAINS (Obat anti inflamasi non steroid) Mekanisme kerjanya sama dengan OAINS lainnya yaitu mengurangi sintesis prostaglandin dan menghambat jalur siklooksigenase Secara spesifik terjadi penghambatan transformasi asam arakidonat menjadi endoperoksida siklik, PGG2, PGH2, yang menghasilkan prostaglandin PGE, PGE2, PGF2a, dan PGD2, juga prostasiklin PGI2, dan tromboksan Selanjutnya penghambatan sintesis prostaglandin dapat mempengaruhi mediator inflamasi lain Obat ini digunakan sebagai pereda nyeri ringan sampai sedang seperti pada nyeri muskuloskeletal akut, dismenore, nyeri gigi dan nyeri pasca operasi"
Ketoprofen 100 mg 10 Tablet,Rp9.300 - Rp19.300,Dikonsumsi sesudah makan,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Nyeri sendi, peradangan musculoskeletal dan sendi, nyeri pasca operasi ortopedi - Dewasa : 50 mg, 4 kali sehari, dengan dosis maksimal 300 mg/hari Nyeri ringan, sedang dan dismenorea - Dewasa : 25-50 mg setiap 6-8 jam, sesuai kebutuhan","Alergi, seperti gatal, kesulitan bernapas, pembengkakan wajah, lidah dan tenggorokan, nyeri maag, peningkatan deyut nadi, gangguan jantung, pusing, nyeri kepala, mual, muntah, kejang, halusinasi",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Diindikasikan untuk : - Keadaan nyeri sendi serta radang sendi dalam penyakit Rheumatoid Arthritis serta Asam urat,,,,,,,"KETOPROFEN 100 MG adalah termasuk obat golongan anti-inflamasi non steroid, digunakan untuk migrain, nyeri menstruasi, sakit gigi ataupun demam pada anak dan juga dewasa Ketoprofen bekerja dengan cara menghambat enzim yang bernama prostalglandin sehingga menghambat pembengkakan serta nyeri yang dirasakan bisa mereda atau membaik"
Pamol Suppositoria 250 mg,Rp27.500 - Rp32.800,Dimasukkan melalui dubur/anus.,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Anak usia 4-8 tahun : 4 kali sehari 250 mg. Anak usia 2-4 tahun : 4 kali sehari 125 mg.,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Ganguan hati dengan dosis tinggi dan penggunaan jangka panjang, reaksi hipersensitif.",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Menghilangkan rasa nyeri dan demam bilamana pemakaian oral tidak memungkinkan.,"Dus, 2 Blister @ 6 Suppositoria",Paracetamol 250 mg,Penderita yang hipersensitif dengan Paracetamol. Penderita yang memiliki gangguan fungsi hati berat.,Interbat,BPOM: DKL0617621853B1,"HARUS DENGAN RESEP DOKTER. Hati-hati penggunaannya pada penderita gangguan fungsi hati dan/atau ginjal, dan pengonsumsi alkohol.","PAMOL SUPPOSITORIA adalah obat yang di gunakan sebagai penurun demam dan pereda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan Obat ini mengandung paracetamol yang memiliki fungsi sebagai antipiretik dan analgesik"
Bodrex 20 Tablet,Rp5.100 - Rp12.300,Dikonsumsi setelah makanan,"Dewasa dan anak lebih dari 12 tahun : 1 tablet, 3-4 kali sehari. Anak 6-12 tahun : 0.5 - 1 tablet, 3-4 kali sehari. Atau sesuai petunjuk dokter.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis.",Obat Bebas (Hijau),"Meringankan sakit kepala, sakit gigi dan menurunkan demam.","Dus, 2 Blister @ 10 Tablet",Caffeine 50 mg dan Paracetamol 600 mg.,"Gangguan fungsi hati berat, hipersensitif.",Tempo Scan Pacific,BPOM: DBL8522700810A1,"Simpan ditempat kering, terlindung dari sinar matahari langsung. Simpan pada suhu dibawah 30 C","BODREX merupakan obat dengan kandungan Paracetamol dan Caffeine Obat ini digunakan untuk meringankan sakit kepala, sakit gigi, dan menurunkan demam"
Dapyrin 500 mg 10 Tablet,Rp3.100 - Rp3.200,Obat dapat diminum sebelum atau sesudah makan,"Dewasa: 1-2 kaplet, 3-4 kali per hari. Penggunaan maximum 8 kaplet per hari. Anak 7-12 tahun: 0.5 - 1 kaplet, 3-4 kali per hari. Penggunaan maximum 4 kaplet per hari.","Penggunaan jangka lama dan dosis besar dapat menyebabkan kerusakan hati, Reaksi hipersensitivitas.",Obat Bebas (Hijau),"Meredakan sakit kepala, sakit gigi, nyeri otot, menurunkan demam yang menyertai flu & paska vaksinasi","Dus, 20 Strip @ 10 Tablet",Paracetamol 500 mg,Parasetamol jangan diberikan kepada penderita hipersensitif/alergi terhadap Paracetamol.Penderita gangguan fungsi hati berat.,Hexpharm Jaya,BPOM: DBL0408510810A1,"Pasien dengan gagal ginjal, gangguan fungsi hati","DAPYRIN 500 MG 10 TABLET mengandung zat aktif Paracetamol Obat ini digunakan untuk mengatasi demam dan sebagai perda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan lainnya"
Dumin 125 mg/2.5 ml Rectal Tube,"Rp27,000",Obat dalam rectal tube dimasukkan kedalam anus,"Atas petunjuk dokter, biasanya untuk anak usia 6 tahun kebawah (<= 6 tahun)","Reaksi hipersensitivitas. Gangguan hematologi, pankreatitis akut. Dosis tinggi atau terapi jangka lama dapat menyebabkan kerusakan hati.",Obat Bebas (Hijau),"Meredakan sakit/nyeri ringan - sedang pada sakit kepala, sakit gigi, nyeri haid, nyeri otot & sendi, dan menurunkan demam.","Dus, 5 Alubag @ 1 Rectal Tube @ 2,5 ml",Per-Rectal Tube 2.5 mL : Paracetamol 125 mg,Hipersensitif dan penderita gangguan fungsi ginjal dan hati.,Actavis,BPOM: DBL0105510758A1,Penggunaan bersama obat lain yang mempengaruhi hati. Gagal hati dan ginjal,"DUMIN merupakan obat dengan kandungan Paracetamol 125 mg Obat ini dapat digunakan untuk meredakan nyeri seperti sakit kepala, sakit gigi, nyeri otot dan demam"
Kaltrofen Suppositoria 100 mg,Rp22.800 - Rp29.200,Dimasukkan kedalam rektum/anus.,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 1 kali sehari 1 suppositoria bila tanpa terapi oral, dosis lazim: 2 kali sehari 1 suppositoria",Kadang menyebabkan konsistensi feses menjadi lunak,Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Terapi gejala-gejala Artritis Reumatoid, Osteo Artritis, Gout akut dan Spondilitis Ankilosa","Dus, 2 Blister @ 5 Suppositoria",Ketoprofen 100 mg,Penderita dengan penyakit proktitis sebelumnya atau yang disertai dengan hemoroid (wasir),Kalbe Farma,BPOM: DKL9911630353A1,HARUS DENGAN RESEP DOKTER. Ketoprofen harus digunakan dengan hati-hati pada penderita gangguan fungsi hati. Hati-hati penggunaannya pada keadaan hiperasiditas lambung.,"Kaltrofen Suppositoria mengandung zat aktif Ketoprofen yang termasuk dalam golongan Nonsteroidal Anti-Inflammatory Drugs (NSAID) Obat ini digunakan untuk mengatasi nyeri ringan sampai sedang pada sakit gigi dan setelah cabut gigi, sakit kepala, sakit telinga, nyeri dan radang pada reumatik ringan dan gangguan otot skelet lainnya, nyeri sendi, demam, nyeri pasca operasi terutama pembedahan ortopedik, gout akut dan nyeri haid (dismenore) Obat ini berbentuk suppositoria seperti peluru yang digunakan dengan cara dimasukkan ke dalam anus"
Lapistan 500 mg 10 Tablet,Rp22.600 - Rp25.300,Sesudah makan,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dosis Awal 500 mg, dilanjutkan 250 mg tiap 6 jam, bila perlu.","Gangguan GI, mengantuk, hipertensi, diare",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Meredakan nyeri ringan hingga sedang pada sakit kepala, sakit gigi, nyeri haid primer, nyeri reumatik, nyeri otot, dan nyeri paska operasi","Dus, 10 Strip @ 10 Tablet",Asam Mefenamat 500 mg,"Tukak lambung atau usus, penyakit radang usus, dan gangguan hati atau ginjal.",Lapi Laboratories,BPOM: DKL9513306109A2,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 2 Strip. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Pasien dengan gangguan atau faktor resiko kardiovaskular, riwayat peptic ulser atau perdarahan GI, gangguan hati dan ginjal, ibu hamil dan menyusui.","LAPISTAN merupakan obat dengan kandungan Asam Mefenamat yang berfungsi sebagai anti nyeri pada tingkat ringan hingga sedang Obat ini sering digunakan untuk meredakan sakit kepala, migrain, sakit gigi, nyeri haid, serta nyeri pada otot dan sendi"
Renadinac 50 mg 10 Tablet,Rp3.700 - Rp9.800,Sesudah makan,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dan Anak diatas 14 tahun: 25 mg atau 50 mg, 2 sampai 3 kali per hari.","Gangguan dan perdarahan GI, tukak peptik, sakit kepala, cemas, ruam kulit, pruritus, tinitus, edema, depresi, mengantuk, insomnia, penglihatan kabur. Hipersensitivitas. Kerusakan hati dan ginjal. Agranulositosis dan trombositopenia",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Meredakan nyeri dan mengurangi inflamasi pada pasien Rematoid Atritis akut dan kronis, nyeri pada tulang, spondilitis ankilosa","Dus, 10 Strip @ 10 Tablet",Natrium Diklofenak 50 mg,"Hipersensitifitas terhadap komponen dalam obat. Pasien yg mengalami asma, tukak peptik, urtikaria, rinitis akut yg diinduksi oleh asam asetil salisilat (aspirin) atau AINS lain.",Fahrenheit,BPOM: DKL9131503115A1,"HARUS DENGAN RESEP DOKTER. Memiliki riwayat penyakit atau faktor resiko gangguan kardiovaskular, hipertensi, retensi cairan, gagal jantung. Memiliki riwayat penyakit tukak lambung/usus, penyakit Crohn, gangguan fungsi hati, gangguan fungsi ginjal, asma, lansia, anak-anak, ibu hamil dan menyusui. Hipersensitif terhadap diklofenak. Kategori Kehamilan : C","RENADINAC 50 MG 10 TABLET mengandung zat aktif Natrium Diclofenac yang merupakan obat golongan NSAID Obat ini digunakan untuk mengurangi nyeri, gangguan inflamasi (radang), dismenore (nyeri haid), nyeri ringan sampai sedang pasca operasi khususnya ketika pasien juga mengalami peradangan Dapat pula digunakan untuk mengurangi rasa sakit pada penderita arthritis, rheumatoid arthritis, osteoarthritis, sakit gigi, migrain akut, asam urat dan nyeri karena batu ginjal dan batu empedu"
Aclonac 50 mg 10 Tablet,Rp11.600 - Rp14.000,Sesudah makan,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dan Anak diatas 14 tahun: 25 mg atau 50 mg, 2 sampai 3 kali per hari.","Mual, muntah, diare, kram abdo-I, kembung, sakit kepala, pusing, ver-tatau kemerahan. peningkatan kadar digoksin, diuretik, AIMS, antikoagulan, toral, metotreksat, siklosporin, kuinolon.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Meredakan nyeri dan mengurangi inflamasi pada pasien Rematoid Atritis akut dan kronis, nyeri pada tulang, spondilitis ankilosa",1 Dos Isi 3 Strip X 10 Tablet,Kalium Diklofenak 50 mg,"Kontraindikasi bagi pasien dengan perdarahan, ulserasi atau perforasi saluran cerna.",Pharos,BPOM: DKL0621632117B1,"HARUS DENGAN RESEP DOKTER. Memiliki riwayat penyakit atau faktor resiko gangguan kardiovaskular, hipertensi, retensi cairan, gagal jantung. Memiliki riwayat penyakit tukak lambung/usus, penyakit Crohn, gangguan fungsi hati, gangguan fungsi ginjal, asma, lansia, anak-anak, ibu hamil dan menyusui. Hipersensitif terhadap diklofenak.","ACLONAC 50 MG merupakan obat dengan kandungan Kalium Diklofenak yang berfungsi sebagai anti nyeri Obat ini sering digunakan untuk mengatasi sakit gigi, nyeri pada sendi, serta nyeri haid"
Anastan Forte 10 Kaplet,Rp8.500 - Rp10.300,diberikan sesudah makan,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dosis Awal 500 mg, dilanjutkan 250 mg tiap 6 jam, bila perlu.","gangguan pencernaan, anemia, asma",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Meredakan nyeri ringan hingga sedang pada sakit kepala, sakit gigi, nyeri haid primer, nyeri reumatik, nyeri otot, dan nyeri paska operasi","Dus, 5 Strip @ 10 Tablet",Asam Mefenamat 500 mg,"tukak lambung, infeksi saluran cerna, gangguan ginjal, asma, hamil dan menyusui",Gratia Husada Farma,BPOM: DKL9207802304A2,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 2 Strip. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Pasien dengan gangguan atau faktor resiko kardiovaskular, riwayat peptic ulser atau perdarahan GI, gangguan hati dan ginjal, ibu hamil dan menyusui.","ANASTAN FORTE merupakan obat dengan kandungan Asam Mefenamat yang berfungsi sebagai anti nyeri pada tingkat ringan hingga sedang Obat ini sering digunakan untuk meredakan sakit kepala, sakit gigi, nyeri haid, nyeri pada otot dan sendi, serta nyeri paska operasi"
Asmef 500 mg 10 Kaplet,Rp5.700 - Rp6.500,Diminum setelah makan.,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa: Dosis awal diberikan 2 kaplet sehari dan untuk pemeliharaan diberikan 1 kaplet tiap 6-8 jam perhari. Anak > 6 bulan atau lebih: Diberikan dengan dosis 6.5 mg/kg berat badan perhari tiap 6-8 jam dan diberikan selama maksimal 7 hari.,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: mual, muntah, diare, pusing, gangguan pencernaan.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Obat ini digunakan untuk meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, nyeri haid, nyeri akibat trauma, nyeri pada otot dan nyeri sesudah operasi.","Dus, 10 Strip @ 10 Kaplet Salut Selaput",Asam mefenamat 500 mg,"kerusakan ginjal, tukak pepik, asma yang sensitif terhadap anti inflamasi dan steroid.",Pertiwi Agung (Landson),BPOM: DKL1019615709A1,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 2 Strip. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Memiliki riwayar gangguan ginjal dan hati, wanita hamil dan ibu menyusui. Kategori kehamilan: Kategori C: Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil.","Asmef mengandung asam mefenamat 500 mg Asam Mefenamat merupakan kelompok anti inflamasi non steroid, bekerja dengan cara menghambat sintesa prostaglandin dalam jaringan tubuh dengan menghambat enzim siklooksigenase sehingga mempunyai efek analgesik, antiinflamasi dan anti piretik Obat yang digunakan untuk mengobati beberapa nyeri dan peradangan obat ini biasanya juga digunakan untuk mengatasi nyeri pasca operasi dan nyeri haid"
Bodrex Demam 4 Kaplet,Rp1.300 - Rp2.000,Diminum sebelum atau sesudah makan,"Dewasa: 1-2 kaplet, 3 - 4 kali per hari. Penggunaan maximum 8 kaplet per hari. Anak 7 - 12 tahun: 0.5 - 1 kaplet, 3-4 kali per hari. Penggunaan maximum 4 kaplet per hari.","Reaksi hematologi, reaksi kulit, dan reaksi alergi lainnya, kerusakan hati pada penggunaan jangka lama dan overdosis.",Obat Bebas (Hijau),"Meredakan nyeri seperti sakit kepala, sakit gigi, serta demam yang menyertai flu dan setelah imunisasi","Dus, 25 Blister @ 4 Kaplet",Paracetamol 650 mg,Hipersensitivitas. Gangguan fungsi hati berat.,Tempo Scan Pacific,BPOM: DBL1722726104A1,,"BODREX DEMAM merupakan obat dengan kandungan Paracetamol 650 mg Obat ini dapat digunakan untuk meredakan nyeri seperti sakit kepala, sakit gigi, dan demam"
Bufect Suspensi 100mg/5ml 60ml,Rp19.900 - Rp24.100,Sesudah makan,"Dewasa : 5 ml Anak-anak :Untuk meringankan nyeri dan menurunkan demam (20 mg/kg dalam dosis terbagi) 1-2 tahun (2,5 ml) 3-4 kali sehari 3-7 tahun (5 ml) 3-4 kali sehari 8-12 tahun (10 ml) 3-4 kali sehari","1. Walaupun jarang terjadi, tetapi dapat timbul efek samping sebagai berikut : gangguan saluran pencernaan termaksud mual, muntah, diare, konstipasi, nyeri lambung atau rasa panas pada perut bagian atas. 2. Pernah dilaporkan : ruam kulit, bronkospasme (penyempitan bronkus), trombositopenia (penurunan sel pembeku darah) dan limpofenia (penurunan sel limfosit). 3.Penurunan ketajaman penglihatan dan kesulitan membedakan warna dapat terjadi, tetapi sangat jarang dan akan sembuh bila obat dihentikan. Apabila terjadi gangguan tersebut maka obat harus dihentikan dan memeriksakan mata ke dokter.",Obat Bebas Terbatas (Biru),"Meringankan nyeri ringan sampai sedang pada penyakit gigi atau sesudah pencabutan gigi, nyeri kepala, nyeri setelah operasi, nyeri pada penyakit reumatik, nyeri karena terkilir, menurunkan demam.","Dus, Botol Plastik @ 60 ml",Ibuprofen 100 mg/ 5ml,"alergi, operasi by pass jantung, pasien ginjal, hati, asma, urtikaria, tukak pada lambung atau usus, demam berdarah.",Sanbe Farma,BPOM: DTL9922231133A1,1. Tidak boleh melebihi dosis yang dianjurkan 2. Sebelum menggunakan obat ini agar dikonsultasikan terlebih dahulu dengan dokter apabila menderita penyakit saluran cerna bagian atas (ulkus peptikum),"BUFECT SUSPENSI 100MG/5ML 60ML adalah obat yang digunakan untuk meredakan demam, sakit kepala, sakit gigi, sakit pada telinga, nyeri haid, dan nyeri ringan lainnya Bufect mengandung ibuprofen, obat yang termasuk nonsteroidal anti-inflammatory drug (NSAID),ibuprofen bekerja dengan cara menghambat kerja enzim siklooksigenase (COX)"
Bufect Suspensi Forte 200mg/5ml 50 ml,Rp27.900 - Rp33.800,Diminum setelah makan,Dewasa: 1 sendok teh 3-4 kali per hari. Anak:�untuk meredakan demam & nyeri�20 mg/kgBB dalam dosis terbagi.,"1. Walaupun jarang terjadi, tetapi dapat timbul efek samping sebagai berikut : gangguan saluran pencernaan termaksud mual, muntah, diare, konstipasi, nyeri lambung atau rasa panas pada perut bagian atas. 2. Pernah dilaporkan : ruam kulit, bronkospasme (penyempitan bronkus), trombositopenia (penurunan sel pembeku darah) dan limpofenia (penurunan sel limfosit). 3.Penurunan ketajaman penglihatan dan kesulitan membedakan warna dapat terjadi, tetapi sangat jarang dan akan sembuh bila obat dihentikan. Apabila terjadi gangguan tersebut maka obat harus dihentikan dan memeriksakan mata ke dokter.",Obat Bebas Terbatas (Biru),"Nyeri ringan sampai dengan sedang seperti dismenor primer, nyeri gigi atau nyeri pasca operasi cabut gigi, nyeri pasca operasi, sakit kepala. Nyeri ringan hingga sedang yang merupakan gejala dari nyeri pada penyakit reumatik, nyeri otot, untuk meredakan demam.","Dus, Botol @ 50 ml",Per 5 ml : Ibuprofen 200 mg,"Hipersensitif terhadap AINS lain, ulkus peptik. Pasien yg mengalami asma, rinitis atau urtikaria jika menggunakan aspirin atau obat AINS lain. Kehamilan trimester 3",Sanbe Farma,BPOM: DTL9922231133B1,"Riwayat penyakit Gastrointestinal bagian atas, gangguann fungsi ginjal, gagal ginjal, hipertensi, defek koagulasi, asma, SLE. Hipertensi atau kondisi lain yang dapat memicu retensi cairan","BUFECT SUSPENSI FORTE 200MG/5ML 50 ML merupakan obat yang mengandung zat aktif ibuprofen Ibuprofen merupakan obat yang memiliki sifat analgesik, anti-inflamasi dan antipiretik Obat ini dapat digunakan untuk nyeri ringan sampai sedang antara lain nyeri pada penyakit gigi atau pencabutan gigi, nyeri pasca bedah, sakit kepala, gejala artritis reumatoid, gejala osteoartritis, gejala juvenile artritis reumatoid, dan menurunkan demam"
Cataflam Drops 15 ml,Rp64.400 - Rp64.500,Sesudah makan,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa : Awal : 100-150 mg. Anak >14 tahun : 75-100 mg/hari. Anak 6 tahun : 1.5-2 mg/kg BB/hari. Diberikan dalam 2-3 dosis tergantung dari beratnya penyakit,"Sakit kepala, pusing, vertigo, nyeri ulu hati, mual, muntah, diare, dispepsia, nyeri perut, nafsu makan menurun, peningkatan serum transaminase, ruam",Obat Keras (Merah),INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Terapi artritis rheumatoid juvenil,"Dus, Botol Plastik @ 15 ml",Per mL : Diclofenac resinate 15 mg,"Tukak lambung, perdarahan atau perforasi. Gangguan hati berat, gangguan ginjal, atau gagal jantung. Asma, urtikaria, rinitis akut. Hamil trimester terakhir",Novartis Indonesia,BPOM: DKI0667504636A1,"HARUS DENGAN RESEP DOKTER. Penyakit kardiovaskuler, MI dan stroke. Gangguan GI. Penggunaan COX-2 selektif. Asma, kolitis ulseratif, penyakit Crohn, gangguan fungsi hati, jantung atau ginjal.","CATAFLAM DROPS adalah obat yang digunakan sebagai pereda nyeri, mengurangi gangguan inflamasi (radang), dismenore, nyeri ringan sampai sedang pasca operasi khususnya ketika pasien juga mengalami peradangan Cataflam Oral Drops juga digunakan sebagai pereda nyeri pada penderita arthritis, rheumatoid arthritis, osteoarthritis, sakit gigi, migrain akut, asam urat dan nyeri karena batu ginjal dan batu empedu"
